Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-208.07846	70.486084	-144.35132	-379.4585	-41.41922	32.665874	-2.2573597	-165.55255	200.0	200.0	3999	-15.748569	11.038919	0.25418547	-46.313515	-15.749079	11.039342	0.58942276	-46.446644	15.502684	3.8390756	36.11190342903137
2	-268.92963	83.60176	-144.87912	-395.85068	-48.103428	69.19889	-1.0443219	-382.68423	200.0	200.0	7999	-36.45317	22.553087	5.942177	-83.68927	-36.45381	22.564116	5.4539995	-83.441765	35.117455	20.851782	81.3890974521637
3	-177.47906	125.31378	-5.7265897	-376.41895	-81.15865	131.28494	-1.1307174	-379.0424	200.0	200.0	11999	-51.90802	34.9238	18.671642	-120.062454	-51.911556	34.94058	15.507658	-120.30488	49.762592	45.08897	127.23477721214294
4	-22.03606	21.149897	-1.793873	-86.77202	-36.495	54.86957	-1.2332915	-383.2888	200.0	200.0	15999	-48.53833	52.19938	22.184397	-159.55807	-48.55076	52.199413	20.951973	-160.06665	46.543423	63.92298	171.89603996276855
5	-44.81941	29.003555	-1.5425438	-125.16819	-46.690506	80.38181	-0.4170698	-381.9446	200.0	200.0	19999	-40.96905	61.561836	27.843409	-190.65211	-40.97395	61.54788	27.486914	-191.69757	39.20692	71.713776	217.1512222290039
6	-38.323	31.861895	-3.005246	-132.90605	-41.283043	66.20025	-1.1608697	-383.59604	200.0	200.0	23999	-35.46985	65.31959	27.321493	-217.31018	-35.47493	65.31893	25.975002	-218.46571	34.08933	89.94509	261.8258147239685
7	-32.927677	23.763142	-2.5129828	-87.26258	-57.723442	93.097595	-2.5863702	-383.47687	200.0	200.0	27999	-30.88047	66.95808	25.314493	-235.86597	-30.883995	66.96108	24.381351	-236.29382	29.455172	97.32523	306.4724042415619
8	-51.18965	74.583244	-6.3348703	-356.17685	-38.949356	42.70305	-5.66225	-380.92267	200.0	200.0	31999	-28.10835	68.88254	23.508299	-256.11935	-28.111187	68.88553	22.451473	-256.7612	27.064508	94.508156	351.47522926330566
9	-36.66048	35.91246	-3.9511244	-154.33913	-55.424877	89.35697	-0.14188915	-381.86963	200.0	200.0	35999	-25.0656	69.11845	20.159744	-275.935	-25.06573	69.11732	19.907433	-276.17642	23.970707	76.550064	396.2661826610565
10	-37.68234	46.703304	-0.5884323	-216.76521	-39.050163	55.13006	-1.1240603	-383.8077	200.0	200.0	39999	-24.000364	70.00463	18.577906	-295.52866	-24.002882	70.00281	18.337132	-296.30258	22.918901	62.819096	441.1832449436188
11	-50.513042	40.877075	-2.6030414	-153.76581	-33.15044	45.200333	-0.57486194	-376.93246	200.0	200.0	43999	-22.088612	68.72719	17.576277	-309.9115	-22.090675	68.72987	16.926983	-310.87338	20.95991	64.48971	486.1932637691498
