Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	-32.866673	22.037514	-3.2205863	-86.961494	-35.887707	53.60514	-0.95908517	-379.24695	200.0	200.0	99999	-68.568504	178.22223	64.73619	-472.0739	-68.569984	178.26872	62.970592	-469.9426	65.87919	617.88324	1114.4468457698822
26	-29.672693	19.683447	-8.156884	-85.76624	-35.277843	43.351227	-0.8051402	-377.10858	200.0	200.0	103999	-52.87282	161.3718	69.85652	-491.1748	-52.860443	161.40764	73.43129	-488.69064	49.847607	538.57135	1159.0725495815277
27	-36.04896	18.49787	-3.3659327	-66.68926	-40.796192	59.606754	-1.0117761	-378.4347	200.0	200.0	107999	-38.035934	143.70735	91.32435	-494.92447	-38.02217	143.69427	75.77025	-492.54144	34.748	415.94153	1203.9576194286346
28	-40.417465	27.517548	-4.0945735	-89.57629	-41.299736	53.797318	-4.732372	-374.30063	200.0	200.0	111999	-26.194847	119.24114	47.542076	-511.74332	-26.18193	119.2417	47.09353	-515.8931	23.748457	236.94353	1248.4922242164612
29	-28.122776	23.344307	-1.4844958	-79.26343	-45.723263	73.451775	-1.5280111	-383.6709	200.0	200.0	115999	-22.367792	107.11184	47.422035	-532.216	-22.364277	107.11137	45.046875	-533.62085	20.62895	176.81685	1293.6219873428345
30	-40.69252	80.05319	-0.742711	-380.32965	-41.09898	65.416794	-0.61551976	-383.4933	200.0	200.0	119999	-20.88469	100.46457	41.948265	-541.4298	-20.88152	100.46056	42.984222	-543.71533	18.836582	179.77232	1338.9744591712952
31	-35.85352	36.779728	-1.6340529	-121.22817	-35.369537	46.883274	-1.6916167	-380.72467	200.0	200.0	123999	-20.732164	94.52662	40.038345	-560.722	-20.731236	94.528366	41.055214	-558.14996	19.19788	161.73671	1384.3444945812225
32	-26.487219	20.59812	-1.5840733	-78.896194	-49.954357	80.485886	-2.0991461	-383.83044	200.0	200.0	127999	-21.07277	89.998276	37.466442	-575.4325	-21.071115	89.98428	36.15474	-574.0948	19.7296	163.96735	1428.967410326004
33	-25.788864	23.474966	-0.9166642	-98.25047	-39.532906	56.421997	-0.1514601	-383.47647	200.0	200.0	131999	-21.91018	87.711914	32.873775	-580.7849	-21.913498	87.718124	33.64945	-581.8333	20.729645	149.52332	1473.9163358211517
34	-26.395123	18.08965	-1.3898574	-66.42754	-33.57637	45.81535	-0.3652499	-379.04214	200.0	200.0	135999	-22.619888	86.87137	32.046597	-596.43524	-22.621572	86.89094	33.486652	-597.82983	21.530476	126.779045	1519.120110988617
