Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-236.2199	71.23648	-131.33086	-386.63425	-126.63665	136.57483	-1.623208	-383.65698	200.0	200.0	3999	-6.221155	4.155549	0.22560076	-17.19411	-6.2210164	4.156512	0.60094154	-17.189651	6.096634	0.5744021	35.73666429519653
2	-253.0173	83.29149	-146.7456	-393.1868	-106.02268	133.90918	-0.13770422	-383.70993	200.0	200.0	7999	-14.239726	8.020007	2.9756172	-31.681053	-14.239787	8.022848	2.7210112	-31.698748	13.892804	2.783341	80.95625686645508
3	-146.7281	109.04137	-8.517699	-367.65002	-116.07788	136.36157	-0.34341657	-383.6183	200.0	200.0	11999	-18.828854	13.066475	7.2191324	-46.285233	-18.829035	13.069112	6.968786	-45.57247	18.288652	5.566587	126.41645073890686
4	-79.04787	106.742874	-0.5181136	-337.9481	-116.55894	139.92313	-0.08875099	-379.24963	200.0	200.0	15999	-19.508749	19.519108	8.540418	-59.649242	-19.508701	19.52115	8.370403	-59.437443	19.009657	8.460852	171.53897714614868
5	-82.071365	113.89777	-0.26997253	-379.8318	-148.20206	151.72823	-1.3497592	-383.36542	200.0	200.0	19999	-18.751842	24.86345	13.724244	-69.620056	-18.752062	24.865728	12.755491	-69.50667	18.272816	10.727546	216.67705464363098
6	-126.786964	143.36673	-1.0754193	-373.10538	-134.66917	143.36809	-0.28167838	-382.79956	200.0	200.0	23999	-19.787998	29.734861	14.151668	-78.80671	-19.788002	29.736927	13.4543915	-78.598526	19.425442	14.344989	261.83136105537415
7	-77.72653	120.23214	-0.64563555	-366.9108	-117.537186	134.02469	-0.4935896	-381.55	200.0	200.0	27999	-21.986877	34.113934	15.441516	-86.33607	-21.986952	34.116943	13.653162	-86.132324	21.67816	19.301228	307.405686378479
8	-65.67513	104.48092	-0.21249814	-316.2317	-147.68816	153.51521	-0.12088536	-383.27698	200.0	200.0	31999	-21.731897	37.15678	15.165255	-93.96329	-21.732306	37.15955	13.926531	-93.87243	21.483587	20.144234	352.68208265304565
9	-162.08797	152.67413	-0.1985306	-381.1416	-96.48396	131.72284	-0.096957915	-383.24414	200.0	200.0	35999	-23.7388	40.565533	17.319832	-101.19888	-23.739798	40.568634	15.014772	-100.86063	23.393042	26.271967	398.0333070755005
10	-77.962944	110.51786	-0.11205234	-378.87833	-124.53481	142.96619	-0.27910352	-383.73676	200.0	200.0	39999	-25.661535	44.038216	19.747465	-107.37389	-25.66248	44.04167	18.225248	-107.64358	25.373281	27.571218	442.72296261787415
