Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-218.00485	83.96161	-132.07977	-395.1942	-126.97388	134.28719	-5.892886	-383.77246	200.0	200.0	3999	-16.017866	12.426518	0.8063411	-48.503536	-16.01785	12.432226	1.0577683	-49.18992	15.739485	5.268468	55.57531213760376	0.02581422482055564
2	-233.07236	76.74669	-137.19069	-383.1233	-131.48552	138.72815	-0.14767584	-383.46866	200.0	200.0	7999	-37.597588	26.447779	7.989617	-93.89866	-37.599033	26.468798	7.6077976	-94.163666	36.55064	23.670568	126.69162344932556	0.022434984697512667
3	-190.51163	115.83589	-1.9490914	-367.1678	-111.85959	135.66858	-0.2664717	-383.6832	200.0	200.0	11999	-54.03382	40.886284	17.389866	-133.38834	-54.03879	40.890694	15.351846	-134.17404	52.208015	54.39903	196.9688150882721	0.017651382634396105
4	-120.24839	131.21686	-0.71986985	-328.9365	-104.67276	133.77322	-0.5479665	-383.4702	200.0	200.0	15999	-62.062977	61.33557	25.33941	-175.17563	-62.074917	61.31433	21.793306	-175.7662	60.56936	102.47436	268.83662366867065	0.01445164139043666
5	-132.43343	137.71284	-1.3073329	-383.70215	-147.70013	144.72227	-0.13513361	-383.00482	200.0	200.0	19999	-71.447105	80.24702	26.703093	-207.43257	-71.45405	80.23713	26.33802	-208.07124	70.191345	136.52428	339.80531644821167	0.016595193923341103
6	-120.46916	129.55022	-5.677306	-362.51038	-136.664	138.34065	-7.177282	-381.7735	200.0	200.0	23999	-77.41575	94.81268	29.599861	-231.51907	-77.42016	94.81406	29.999142	-232.3526	76.20182	191.30365	411.99396562576294	0.014138595632629708
7	-143.9266	137.46947	-7.253821	-361.5505	-133.31346	145.29355	-0.4544953	-381.89313	200.0	200.0	27999	-84.68677	110.46918	35.537334	-258.90405	-84.68961	110.461	36.198936	-258.7856	83.91572	245.04097	483.90010046958923	0.01656205325477829
8	-120.09495	130.74217	-11.4516325	-377.76614	-139.20987	138.96548	-8.475404	-382.75128	200.0	200.0	31999	-90.31298	128.14441	44.93968	-283.5519	-90.317	128.1274	46.99449	-284.54224	89.32735	313.84082	555.2917184829712	0.01864389226559724
9	-195.86034	150.66495	-9.034232	-382.56308	-138.94403	150.213	-8.261198	-383.29938	200.0	200.0	35999	-96.15468	146.25688	57.681683	-304.31586	-96.15463	146.2324	58.2965	-304.58475	95.17065	398.38803	626.1113541126251	0.02364914684627873
10	-212.7308	158.67896	-10.796839	-383.25763	-119.83874	132.59404	-8.519388	-383.81976	200.0	200.0	39999	-105.98701	164.42924	69.11968	-323.92947	-106.00188	164.4102	69.400055	-323.1373	105.502	503.6276	696.4192388057709	0.02609727357991818
