Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-247.50595	92.71919	-141.552	-396.6435	-114.86843	75.68494	-0.7989501	-192.50677	200.0	200.0	3999	-6.533291	4.279334	0.41995978	-17.03289	-6.5330977	4.278283	0.7663686	-17.088612	6.382534	0.5907168	55.81197142601013	0.011190865866844682
2	-199.10439	65.967804	-147.50963	-378.0416	-23.40927	18.930367	-0.30213255	-107.25917	200.0	200.0	7999	-12.337413	7.496108	3.2165608	-28.674047	-12.3374815	7.49534	3.0513554	-28.440786	11.767967	2.307522	127.80591607093811	0.012349328710315358
3	-123.63741	103.3976	-5.3391953	-334.5978	-22.949648	17.671398	-0.33341166	-97.7747	200.0	200.0	11999	-13.508142	10.22447	5.336949	-38.50276	-13.507813	10.225051	5.268095	-37.983273	12.566124	3.7386842	197.89069032669067	0.010313938681778805
4	-26.116592	15.083716	-3.0856383	-57.45015	-20.083302	15.634112	-0.46913654	-79.2135	200.0	200.0	15999	-9.518577	12.766329	6.583061	-46.585163	-9.518377	12.766226	6.1898336	-46.440384	8.738465	3.5202656	269.3784477710724	0.00861401729817398
5	-20.768024	12.820735	-2.054803	-68.4797	-23.660854	15.002022	-1.1482546	-58.49992	200.0	200.0	19999	-6.832077	13.080227	6.8960276	-51.56728	-6.832258	13.080002	6.481202	-51.463062	6.229756	2.9254801	340.01585578918457	0.011831930857971976
6	-49.513683	82.92068	-2.1821163	-399.76013	-19.84121	11.306307	-1.0418171	-53.732098	200.0	200.0	23999	-5.2861037	12.521455	6.0152407	-56.11443	-5.286256	12.521363	5.7566924	-56.095436	4.764125	2.447584	411.21189188957214	0.01008044176686665
7	-21.754421	9.927668	-5.8862414	-46.626377	-22.571434	14.384626	-0.4053589	-81.4077	200.0	200.0	27999	-4.816815	12.68592	5.552903	-61.27582	-4.8168235	12.685717	6.3745418	-61.511166	4.419388	2.1619928	482.2103407382965	0.009486745390343882
8	-22.907488	12.442694	-1.7050205	-52.82131	-20.74708	13.4583645	-0.6108189	-67.59894	200.0	200.0	31999	-4.100209	12.084777	5.4403524	-64.84088	-4.1001797	12.08509	5.670539	-64.892204	3.7402143	1.8793606	552.6106939315796	0.009107468384848584
9	-19.107492	12.958881	-2.3623195	-55.539528	-22.296667	14.641207	-0.52625823	-66.89482	200.0	200.0	35999	-3.5994487	11.475513	4.6974816	-64.83468	-3.599571	11.475465	5.3912563	-64.980484	3.2874634	1.7441709	622.9536402225494	0.008402192060635118
10	-23.136356	17.601686	-1.0105197	-75.380974	-18.957415	12.514696	-0.2843883	-66.05583	200.0	200.0	39999	-3.2418194	11.04199	4.078628	-64.31329	-3.241787	11.041573	3.9326842	-63.968876	2.9732509	1.5628374	694.3662462234497	0.008734620130956113
11	-15.52342	15.295912	-0.35426527	-61.344315	-24.17251	14.716272	-0.6318029	-71.76706	200.0	200.0	43999	-2.8997684	10.672248	4.142462	-62.921356	-2.899806	10.67217	4.0643573	-63.31015	2.607036	1.2856909	765.5985074043274	0.01351918126813497
12	-20.701359	15.284415	-0.47413996	-53.016415	-25.219336	16.856178	-0.59611773	-85.69505	200.0	200.0	47999	-2.6594372	10.474545	3.6870198	-62.298725	-2.659528	10.474433	3.865795	-62.42668	2.3927486	1.2504956	836.8858840465546	0.011290978635213278
13	-20.462156	16.345873	-0.4009767	-69.49298	-22.830725	14.345035	-0.6161132	-75.58669	200.0	200.0	51999	-2.4557889	10.269985	4.0937796	-62.94149	-2.455755	10.269231	4.0662766	-63.20253	2.220223	1.1797632	908.3352589607239	0.010416612722303396
14	-19.519846	11.823072	-0.67255414	-52.965054	-20.44284	11.450666	-0.6805119	-59.364666	200.0	200.0	55999	-2.278568	10.011615	4.1484656	-62.7776	-2.278627	10.011572	4.1932306	-63.002262	2.0843122	1.2412043	979.7077341079712	0.011268430505771235
15	-21.386936	15.136353	-0.8113593	-63.09007	-25.144419	14.826854	-1.6561089	-80.581604	200.0	200.0	59999	-2.0746782	9.728939	4.709466	-62.17529	-2.074645	9.728231	5.1309485	-62.504143	1.8865786	1.1578892	1050.502501964569	0.012939830459584628
16	-25.436964	16.589561	-3.0854993	-84.4952	-21.862703	15.090007	-0.3771218	-74.93282	200.0	200.0	63999	-1.9788536	9.507159	3.4766526	-62.90244	-1.9788636	9.506968	3.215094	-62.610794	1.7816968	1.0663828	1121.743402481079	0.012177727901547405
17	-24.183762	16.034666	-0.5984904	-60.56824	-21.708836	15.839653	-0.9276679	-77.901245	200.0	200.0	67999	-1.9010558	9.42133	4.234782	-62.758484	-1.9010898	9.421055	4.4199123	-62.977615	1.7414697	0.96305144	1193.2332122325897	0.00997021934364173
