Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-234.85384	79.74554	-152.58606	-397.85147	-119.785126	134.16127	-0.3919489	-383.51254	200.0	200.0	3999	-17.857662	11.37238	0.29411644	-47.98625	-17.855886	11.373851	0.62401885	-47.71336	17.44941	5.4849024	55.07202744483948	0.03343603771481308
2	-254.46928	77.19228	-121.57658	-394.31335	-140.70119	142.4942	-4.0060873	-383.6009	200.0	200.0	7999	-39.461708	23.510769	5.0824676	-92.8606	-39.462173	23.51252	4.422399	-92.59842	38.214756	23.31205	126.38450312614441	0.023345935040520325
3	-232.62895	123.95747	-5.22513	-394.04297	-115.97263	144.02557	-0.64749354	-383.5584	200.0	200.0	11999	-58.2686	37.281757	17.671415	-131.54752	-58.2677	37.281593	16.907694	-131.4283	56.551132	52.567207	197.98458909988403	0.028458019390324815
4	-128.13542	142.23624	-1.9920824	-383.01028	-131.21619	143.75992	-0.9013532	-383.72064	200.0	200.0	15999	-68.63357	56.089222	27.064133	-168.00943	-68.63083	56.082386	26.077425	-167.77945	67.179924	92.60107	269.8590340614319	0.027869414567713257
5	-162.538	150.54173	-0.6534267	-383.64832	-151.74591	147.53957	-0.2794022	-383.6612	200.0	200.0	19999	-78.18975	75.39908	26.052658	-197.92119	-78.18712	75.39858	26.541876	-197.80377	77.155945	146.85178	341.1342468261719	0.020249290336265838
6	-122.70148	138.3918	-1.3214461	-374.58484	-134.38918	145.4352	-1.6709675	-383.59656	200.0	200.0	23999	-88.08449	90.888596	28.236074	-221.40982	-88.08278	90.88652	28.830645	-221.31055	87.07016	202.48688	412.043648481369	0.02325278429360576
7	-104.95648	126.60975	-2.3673236	-358.4728	-116.117775	132.03694	-0.9669878	-382.45523	200.0	200.0	27999	-91.51777	105.03129	36.690685	-244.36911	-91.51264	105.03972	37.111343	-244.1079	90.443115	246.78822	483.1883080005646	0.018662536157862838
8	-125.0269	135.62346	-1.7630608	-380.6853	-107.54547	137.95494	-0.6084258	-383.47147	200.0	200.0	31999	-98.69866	118.488495	41.995674	-266.9716	-98.69505	118.4894	42.546955	-266.88123	98.09351	305.45093	554.7842438220978	0.023206348390476417
9	-117.183914	135.67061	-0.14780098	-372.09097	-97.06078	125.97766	-0.6355873	-383.57233	200.0	200.0	35999	-103.21323	131.29425	48.53693	-286.98267	-103.20822	131.30089	50.947647	-286.3378	102.54431	362.60788	626.1013448238373	0.018258275657875345
10	-161.89406	141.29965	-0.7960717	-382.78497	-119.68627	140.79823	-0.02692703	-380.97046	200.0	200.0	39999	-111.4915	143.62831	51.322758	-304.40833	-111.48825	143.63	53.081463	-304.00754	110.53383	420.96393	696.5675263404846	0.02270366162144019
