Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
23	-143.12407	151.99997	-6.6727457	-379.64392	-100.34524	126.53378	-6.399991	-383.44568	200.0	200.0	91999	-125.70292	239.40941	121.673676	-442.18643	-125.72063	239.40906	127.678566	-441.1915	125.81618	1037.6816	1690.1073639392853	0.011854547360298381
24	-94.36333	124.06208	-5.0918536	-367.9486	-144.33986	140.23152	-6.3828616	-383.1017	200.0	200.0	95999	-127.57913	240.49437	120.00122	-445.75974	-127.58335	240.49417	128.24281	-444.55112	127.37168	1100.5721	1763.4096434116364	0.01072104603303523
25	-119.671104	141.8891	-3.1069558	-367.09848	-115.985535	136.71614	-5.888568	-383.7328	200.0	200.0	99999	-127.18911	240.68645	114.53967	-448.15436	-127.20144	240.70395	137.17365	-448.5175	127.27072	1080.1985	1837.2204365730286	0.012068674344876284
26	-177.69244	144.32053	-5.5948405	-383.53333	-123.997025	132.688	-6.009091	-383.3469	200.0	200.0	103999	-130.16257	240.9559	113.38854	-450.50513	-130.17155	240.97284	116.415825	-450.3211	129.02707	1010.5176	1909.6713814735413	0.010699636061276614
27	-96.22466	104.48343	-7.0903106	-280.40228	-115.72997	135.33365	-7.7637467	-383.7846	200.0	200.0	107999	-130.72054	241.35876	111.63033	-453.3863	-130.72473	241.36815	121.75202	-454.93933	131.05695	1062.7938	1983.4774346351624	0.011807247479654094
28	-119.63271	132.15717	-4.9135838	-365.09988	-102.436745	131.86734	-1.9510155	-382.29843	200.0	200.0	111999	-130.68175	241.54373	104.632484	-453.66516	-130.68217	241.55923	110.847244	-455.1443	129.7913	1067.0227	2057.139610528946	0.011335197552839018
29	-148.48204	163.79099	-5.9105973	-382.53152	-114.63541	139.78134	-2.2894924	-382.0994	200.0	200.0	115999	-131.13779	241.26654	110.06104	-455.5659	-131.14627	241.2654	115.799995	-456.39807	130.81306	1048.5089	2130.7776572704315	0.01066760124407307
30	-160.58353	147.78828	-11.963119	-379.06885	-129.7502	139.72336	-3.6694021	-383.28674	200.0	200.0	119999	-131.10548	241.70506	108.44363	-454.86917	-131.11102	241.71346	115.49338	-456.265	130.51105	1070.1062	2204.5460872650146	0.013531491424896841
31	-136.46848	135.57501	-14.529989	-382.12637	-125.58301	139.53238	-2.617487	-383.6096	200.0	200.0	123999	-132.13667	242.01785	110.42753	-456.56384	-132.13425	242.0298	115.900406	-459.53525	131.91435	1008.05206	2278.3204872608185	0.016826035946705984
32	-191.59009	142.09828	-7.0889173	-381.9732	-106.75264	132.45139	-3.1135416	-382.35522	200.0	200.0	127999	-134.27686	243.25266	115.080025	-460.9264	-134.28853	243.25586	122.65232	-461.74017	133.21674	1020.2145	2351.7654514312744	0.01615333648386191
33	-85.04994	116.49601	-3.182809	-379.304	-111.468124	131.83134	-2.7752028	-378.83923	200.0	200.0	131999	-134.72095	242.40604	113.90416	-461.1645	-134.72456	242.40565	120.37086	-459.78314	134.84837	1044.3909	2425.2956392765045	0.01646155699019734
34	-176.95398	148.0063	-5.9674745	-383.5823	-153.44247	147.59071	-3.6254184	-383.71625	200.0	200.0	135999	-136.5099	241.09468	107.40593	-455.75436	-136.51414	241.08119	113.53974	-456.03406	136.22903	1025.5839	2498.9184119701385	0.022611053284495763
35	-114.105225	124.92833	-3.602603	-348.21194	-136.11742	148.07452	-3.8249276	-383.72293	200.0	200.0	139999	-136.28401	240.14253	108.829605	-456.52533	-136.28673	240.13704	110.67991	-457.39096	136.31805	1040.1411	2572.663650035858	0.017439378259464032
36	-166.91194	136.86528	-0.6464971	-379.82858	-127.20556	136.25798	-5.3577356	-381.31418	200.0	200.0	143999	-137.25703	238.4836	101.03896	-456.71414	-137.26524	238.49258	106.19504	-458.63892	137.19447	1021.13385	2646.434351682663	0.013450585881605436
