Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-220.37097	83.533516	-136.87321	-396.1369	-119.12035	137.59702	-0.5216777	-383.77258	200.0	200.0	3999	-15.317957	12.111553	1.0070082	-47.78786	-15.319108	12.11414	0.8370856	-47.96389	14.87655	4.4716215	56.50325059890747	0.024342485661479302
2	-222.75806	66.483086	-142.26772	-373.69403	-132.83012	139.09003	-1.102841	-383.46866	200.0	200.0	7999	-35.163166	24.272514	8.457241	-90.90569	-35.164116	24.287603	7.864072	-90.59771	34.026142	23.246344	129.16154503822327	0.024342485661479302
3	-181.98538	113.2118	-2.29368	-347.23376	-111.744385	135.38536	-0.86431724	-383.6832	200.0	200.0	11999	-50.778816	37.479786	22.861202	-126.67554	-50.78065	37.49238	20.724869	-126.26195	49.01655	50.33417	199.9112629890442	0.016678336010931955
4	-119.305664	131.11435	-0.7450001	-328.93604	-104.92365	134.58855	-0.096659705	-383.4702	200.0	200.0	15999	-57.201996	57.378838	35.037254	-162.9949	-57.215195	57.363464	30.982227	-162.2944	55.63996	93.94995	271.6560552120209	0.01394337767703562
5	-137.72975	139.51198	-0.8991132	-383.70215	-148.4058	144.26105	-0.45387167	-383.00482	200.0	200.0	19999	-64.47105	77.31005	42.20947	-193.09062	-64.48385	77.28759	37.79635	-192.56876	62.964264	138.83148	343.25953483581543	0.0173555433331032
6	-121.36072	131.52872	-1.4594038	-362.51038	-132.5164	141.0113	-1.2152194	-381.7735	200.0	200.0	23999	-69.999825	93.27948	42.28567	-216.75046	-70.00443	93.25943	39.147694	-216.37598	68.76795	198.39935	414.50166368484497	0.026889248249175036
7	-141.77313	139.38173	-2.5051498	-361.5505	-134.93413	143.98317	-3.2104428	-381.89313	200.0	200.0	27999	-79.17293	108.848625	43.63858	-242.42578	-79.177635	108.83599	43.27783	-242.59853	78.24489	253.5945	486.1137945652008	0.02160272004130792
8	-116.51282	133.24258	-4.7338815	-377.76614	-136.713	141.38187	-3.6396432	-382.75128	200.0	200.0	31999	-88.03307	124.9999	49.88765	-267.9399	-88.0347	124.99379	50.50205	-268.4843	87.161064	324.31235	557.0073623657227	0.019949749518130264
9	-193.78142	153.1635	-3.7682023	-382.56308	-135.10147	153.1686	-1.7011442	-383.29938	200.0	200.0	35999	-98.29873	140.80856	56.10069	-291.07272	-98.29674	140.80124	56.99432	-291.054	97.349464	405.90173	627.85391664505	0.023392650256536397
10	-210.25253	161.62683	-3.9797544	-383.25763	-117.17439	135.22643	-2.5835726	-383.81976	200.0	200.0	39999	-111.79333	155.52867	65.03189	-312.60596	-111.78978	155.52669	65.68257	-312.256	111.534775	523.6991	699.4481520652771	0.01879356647806952
11	-166.3859	142.06244	-5.437434	-366.2995	-139.69704	148.27599	-3.7237563	-383.69635	200.0	200.0	43999	-121.25426	170.44069	76.26295	-333.88446	-121.25573	170.44029	76.602135	-333.4149	120.16222	617.1893	770.8087153434753	0.02584003904537619
12	-83.27449	120.46676	-5.426785	-380.18524	-133.52718	142.12573	-7.0376506	-383.54666	200.0	200.0	47999	-120.65364	188.16782	90.13179	-353.285	-120.6492	188.15228	92.01582	-354.27847	119.54968	714.75586	840.7450034618378	0.02386284252669278
13	-121.34906	137.54279	-11.77009	-380.94812	-127.658875	139.20137	-5.1885753	-383.3864	200.0	200.0	51999	-114.75938	203.05148	101.10118	-370.3909	-114.75196	203.04977	101.70625	-372.26102	113.508705	790.3328	912.0620193481445	0.021177061112937868
14	-66.40071	91.200714	-4.170837	-330.16763	-137.0766	141.64796	-4.0059447	-382.90344	200.0	200.0	55999	-112.71943	214.09508	111.07814	-386.76273	-112.71743	214.07504	109.46037	-388.89102	111.68389	879.79614	982.4090073108673	0.022479877101892393
15	-140.96997	154.74709	-1.721719	-383.65912	-113.5725	139.6349	-1.4024028	-383.52402	200.0	200.0	59999	-112.66074	222.50249	115.23673	-399.5055	-112.65432	222.4819	115.744606	-400.87762	111.69479	952.84576	1053.8885395526886	0.028543478851011963
16	-99.33885	119.430305	-2.52231	-366.0055	-120.70302	144.27913	-1.7356153	-383.61893	200.0	200.0	63999	-115.33527	228.45215	120.657745	-410.8475	-115.32923	228.43782	121.062904	-411.48196	114.462746	1015.8126	1125.7113075256348	0.030908497475771596
17	-110.120605	139.663	-1.8779389	-376.79318	-135.25719	143.73967	-2.3847675	-383.82773	200.0	200.0	67999	-117.07154	233.79092	126.06801	-421.7051	-117.07403	233.77843	123.9495	-423.92645	115.53978	1045.1492	1195.611562013626	0.029702458551713242
18	-119.79382	151.35626	-2.584616	-380.82413	-124.79785	142.45673	-2.3054864	-383.517	200.0	200.0	71999	-116.02808	238.42456	127.39066	-433.27753	-116.03238	238.41197	128.15962	-434.42285	114.91603	1058.4275	1267.424791097641	0.025330888192702867
19	-134.52505	151.53893	-1.85127	-382.8525	-113.7733	131.6875	-2.5007608	-383.74783	200.0	200.0	75999	-118.34092	242.95695	131.18694	-442.1541	-118.3532	242.95187	131.15779	-442.3832	117.581314	1100.3085	1338.772275686264	0.026359423830188255
20	-153.01993	150.55269	-2.2096314	-375.92773	-112.88743	133.98856	-2.5240822	-383.8279	200.0	200.0	79999	-122.41126	245.45886	129.34511	-448.05453	-122.40923	245.43771	131.54042	-449.30875	121.98027	1156.657	1410.1812398433685	0.025330888192702867
21	-113.95016	134.2614	-1.1669052	-367.1821	-115.757225	140.26234	-2.0448933	-383.69772	200.0	200.0	83999	-125.70129	247.3919	130.6998	-452.2439	-125.69865	247.37564	132.40007	-453.32578	124.482574	1198.5895	1481.0591502189636	0.025840039045376195
22	-107.15043	138.7751	-2.6949892	-382.25238	-110.39164	133.51169	-2.8787363	-383.47327	200.0	200.0	87999	-127.19182	248.15468	132.67973	-457.28998	-127.19073	248.15048	131.25896	-457.5861	127.39578	1140.0883	1551.7971453666687	0.023392650256536397
23	-142.30606	152.67834	-4.563868	-379.64392	-97.32672	128.37831	-1.9879626	-383.44568	200.0	200.0	91999	-128.56476	248.67975	129.55899	-465.09726	-128.565	248.65443	131.45624	-464.72247	128.54868	1127.9838	1623.5105357170105	0.025330888192702863
24	-94.150986	125.61173	-3.1720593	-367.9486	-142.70604	141.64389	-2.578969	-383.1017	200.0	200.0	95999	-130.87453	248.85292	129.19743	-464.67828	-130.87906	248.85606	126.81279	-466.16168	130.63222	1206.613	1695.348715543747	0.024831769623275036
25	-117.926414	143.0617	-2.4937274	-367.09848	-113.375984	138.50494	-1.4302356	-383.7328	200.0	200.0	99999	-129.55849	249.2657	131.8562	-470.88065	-129.557	249.25766	132.39406	-470.96826	129.7748	1182.873	1766.6923274993896	0.027981059553977023
26	-175.94876	146.15375	-2.342465	-383.53333	-122.16147	134.00435	-2.7668633	-383.3469	200.0	200.0	103999	-132.05913	249.36214	131.38202	-474.7648	-132.05658	249.33965	129.04749	-474.48575	130.94978	1148.6813	1837.2494068145752	0.025330888192702867
