Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
23	-21.727345	15.340012	-0.4747225	-60.13442	-22.102257	14.812935	-0.355246	-77.434975	200.0	200.0	91999	-2.7916913	8.77671	1.7879237	-59.789104	-2.7917013	8.776398	1.7256608	-59.656685	2.6276484	0.7546182	1627.9798502922058	0.0072080250441753195
24	-16.238964	10.942105	-0.743264	-43.795063	-18.943035	13.5967045	-0.12066828	-72.858635	200.0	200.0	95999	-2.7236602	8.628105	1.7607988	-59.579933	-2.7236857	8.627977	1.7995169	-59.842686	2.6168218	0.77540016	1699.769407749176	0.006390365875269944
25	-18.562023	13.089501	-0.60828435	-67.396904	-23.515713	13.971897	-0.16561222	-74.49043	200.0	200.0	99999	-2.6861892	8.517841	1.5819048	-59.670807	-2.6862154	8.51756	1.5369971	-59.617	2.5763848	0.6204331	1772.2690834999084	0.006383981893376568
26	-25.098766	17.84417	-1.016541	-86.22541	-20.392885	11.842138	-0.18632859	-60.866295	200.0	200.0	103999	-2.6735	8.382938	2.0062559	-59.539894	-2.6734931	8.382623	1.7964711	-59.632355	2.5446665	0.5895004	1843.5533876419067	0.006769955465425726
27	-16.93685	9.43043	-0.22952323	-39.010017	-20.381275	13.198463	-0.56584895	-61.87151	200.0	200.0	107999	-2.63843	8.317092	1.6106402	-59.956543	-2.6384015	8.316649	1.4421864	-60.023285	2.531581	0.7086679	1914.2448844909668	0.005654145839558848
28	-21.563229	10.579756	-0.16067927	-39.925156	-19.392244	11.895288	-0.14920951	-69.84156	200.0	200.0	111999	-2.593398	8.191193	1.2271719	-60.246475	-2.5933993	8.1909485	1.6558998	-60.257935	2.501654	0.5508867	1985.2911550998688	0.0053211400075812276
29	-22.828167	15.159632	-0.8317146	-60.322254	-20.500864	14.011525	-0.1404835	-70.162605	200.0	200.0	115999	-2.585076	8.177141	1.6010594	-60.420395	-2.5850902	8.177041	1.2103142	-60.356842	2.4830914	0.653006	2058.209450006485	0.007023750475142822
30	-22.628023	19.385956	-0.17895919	-78.2844	-20.804617	10.830297	-0.18766895	-58.605762	200.0	200.0	119999	-2.505778	8.088179	1.4836953	-60.19586	-2.5057747	8.087769	1.4962677	-60.03945	2.428913	0.5986757	2129.7271060943604	0.005310513669728101
31	-22.909317	10.711793	-7.0942907	-58.5193	-19.060238	12.314987	-0.20635286	-67.48043	200.0	200.0	123999	-2.428122	7.9600916	1.484396	-60.255314	-2.428119	7.9597135	1.7546662	-59.841248	2.3403203	0.5366028	2201.730270385742	0.006345811708935864
32	-22.297215	12.066933	-0.16378978	-54.77717	-19.113895	12.592148	-0.049065802	-72.36641	200.0	200.0	127999	-2.4104311	7.925184	1.3813794	-60.07354	-2.4104598	7.9249535	1.5865388	-60.006744	2.3164806	0.5230143	2273.0845935344696	0.005625959725048625
