Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-243.09843	83.36876	-138.8384	-377.91006	-120.612404	134.64703	-0.79629415	-383.51495	200.0	200.0	3999	-18.031141	11.628388	0.38768387	-47.2867	-18.029654	11.626392	0.73395914	-47.23519	17.600061	4.6038814	55.82980442047119	0.02203693471413821
2	-234.7382	66.269806	-147.96465	-371.68317	-136.97237	143.09926	-0.10131275	-383.59943	200.0	200.0	7999	-39.165966	22.951416	11.337011	-86.643005	-39.16612	22.949999	11.05702	-86.48251	37.814026	23.249605	127.76257181167603	0.02160272004130792
3	-230.2875	127.84771	-6.553979	-393.29025	-115.50746	143.77032	-0.9693558	-383.5584	200.0	200.0	11999	-54.925114	37.07839	18.723108	-123.08675	-54.924076	37.07378	20.815445	-123.27048	52.904182	52.37187	199.57984733581543	0.02203693471413821
4	-133.93561	141.22993	-4.8116846	-383.01028	-132.14044	142.85437	-2.8640523	-383.72064	200.0	200.0	15999	-64.43559	56.849747	29.601933	-163.18037	-64.43231	56.838776	30.89998	-162.86163	62.868866	90.00431	271.0263731479645	0.02970245855171324
5	-162.11845	149.93143	-1.0873317	-383.64832	-151.21475	147.02312	-1.3958429	-383.6612	200.0	200.0	19999	-73.59972	76.09347	35.483257	-193.32512	-73.599236	76.0805	35.607113	-193.05713	72.42812	142.46036	342.4280414581299	0.020350739483444683
6	-120.32424	137.36266	-0.6227819	-374.58484	-132.78769	145.83351	-0.2730811	-383.59656	200.0	200.0	23999	-84.62621	91.67675	38.270226	-218.81299	-84.62477	91.664734	37.39224	-219.22	83.51069	199.87642	412.77856063842773	0.01842325897271789
7	-104.1885	126.14644	-2.3265238	-358.4728	-115.19658	132.0035	-0.7238419	-382.45523	200.0	200.0	27999	-90.19448	105.36661	38.953186	-242.18195	-90.19347	105.365845	37.20802	-242.13681	89.18359	237.66519	484.2097451686859	0.01955666063928072
8	-124.04165	134.81992	-2.0022056	-380.6853	-108.00116	137.61958	-1.3135712	-383.47147	200.0	200.0	31999	-99.00128	118.47734	42.880077	-264.1302	-98.99873	118.472244	42.922142	-263.9775	98.493225	298.70343	555.9502882957458	0.01879356647806952
9	-117.823	135.20807	-1.4845225	-372.09097	-97.76752	125.597336	-1.5381866	-383.57233	200.0	200.0	35999	-104.20698	130.88867	46.15273	-284.78787	-104.20303	130.88513	47.412285	-284.54163	103.54374	361.937	625.9368197917938	0.013135292504001276
10	-162.38123	140.72815	-2.227396	-382.78497	-120.702126	139.71735	-2.1213377	-380.97046	200.0	200.0	39999	-111.94458	142.81197	50.823658	-302.47476	-111.9434	142.81334	52.972755	-302.61142	111.11373	420.21143	695.7289111614227	0.01634970690219778
11	-128.0864	147.61743	-1.5855391	-382.75836	-132.72125	147.51602	-1.3392742	-382.5068	200.0	200.0	43999	-116.4495	154.34555	55.3869	-319.19495	-116.44501	154.34752	57.47221	-319.42374	115.65172	461.77194	766.783652305603	0.014509534723667753
12	-110.47921	126.130844	-1.9091417	-352.09384	-108.03996	136.8106	-1.8996543	-382.51178	200.0	200.0	47999	-119.47556	164.84727	62.62052	-335.6589	-119.4732	164.847	64.759735	-334.7929	118.38939	540.0867	837.6807391643524	0.013135292504001276
13	-122.06996	134.27475	-1.0689328	-351.99774	-111.37297	134.88765	-0.5279711	-382.1671	200.0	200.0	51999	-121.02816	174.11308	68.869865	-349.05432	-121.0274	174.1095	72.18413	-349.3944	120.660194	567.93286	909.1103928089142	0.01955666063928072
