Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma	CStage
22	-4.6625533	8.065287	10.0	-24.498856	-2.4	8.014985	10.0	-10.0	61.78125	143.99	87999	-1.9430673	3.498201	17.911562	-17.595396	-1.9428959	3.5031471	17.425123	-18.224957	1.6418957	1.6531264	1659.3530938625336	0.007360259253910804	sbDS
23	-2.6953974	7.760757	10.0	-19.898743	-2.2	7.6915536	10.0	-10.0	64.30645	155.9	91999	-2.1812863	3.456858	17.125874	-18.910309	-2.1811647	3.4618285	17.07428	-19.048244	1.8644353	1.6664642	1739.783262014389	0.007500699765149263	sbDS
24	-2.8233669	8.623679	10.0	-23.935184	-1.8	8.986657	10.0	-10.0	57.57143	113.6	95999	-2.3615875	3.4602034	17.181625	-18.27481	-2.361342	3.4645534	17.868006	-17.88969	2.0718307	1.7175325	1815.7484817504883	0.007643820010418346	sbDS
25	-1.3103263	8.960552	10.0	-19.052528	-0.4	8.475848	10.0	-10.0	58.101448	140.33	99999	-2.5304193	3.500531	20.26965	-18.10681	-2.5304625	3.505183	19.63073	-18.01407	2.2535648	1.757146	1895.1329147815704	0.007051887647648266	sbDS
26	-1.3355209	6.611332	10.0	-18.034824	-0.5	7.3993244	10.0	-10.0	67.830505	175.16	103999	-2.661965	3.5173657	17.004347	-18.027506	-2.6618843	3.5223436	17.37966	-17.198505	2.3710952	1.7926005	1976.2586143016815	0.00793830520584268	sbDS
27	-0.32671878	7.3478675	10.0	-10.0	0.4	8.357033	10.0	-10.0	58.867645	148.42	107999	-2.7442007	3.514499	16.466644	-18.496792	-2.7441761	3.519397	16.762772	-18.104511	2.467419	1.8298371	2056.076134443283	0.007323568104435278	sbDS
28	-2.0833673	7.8897996	10.0	-17.900536	-1.3	8.325263	10.0	-10.0	63.38095	144.49	111999	-2.7974222	3.5252612	17.138447	-17.792366	-2.7972543	3.5293899	17.540903	-17.210482	2.5062678	1.8563628	2134.3838098049164	0.007463308514819609	sbDS
29	-1.8284624	7.8921833	10.0	-20.088732	-0.9	7.758221	10.0	-10.0	60.81818	171.05	115999	-2.8723633	3.5076976	17.554106	-17.30169	-2.8723674	3.513013	17.91866	-17.25334	2.5939913	1.8674132	2216.240752220154	0.007164927859693191	sbDS
30	-2.5215726	7.813664	10.0	-20.549295	-1.1	7.986864	10.0	-10.0	70.51786	154.86	119999	-2.9583852	3.5148876	18.714493	-16.185629	-2.9582438	3.5197687	20.209341	-16.90948	2.6861022	1.8739101	2297.0151793956757	0.0071577700896035875	sbP
31	-2.857143	6.281384	10.0	-10.0	0.1	7.936624	10.0	-10.0	188.57143	166.45	123999	-3.0046418	3.5048528	17.303848	-16.71731	-3.0045943	3.5086956	17.44122	-17.150778	2.7368646	1.8548124	2377.91584444046	0.007009724017384036	sbP
32	0.37037036	8.811391	10.0	-10.0	-0.1	7.5491724	10.0	-10.0	149.40741	170.41	127999	-3.0849874	3.4734967	17.143597	-16.964102	-3.0849357	3.4766867	17.218586	-16.639067	2.8044336	1.8390282	2459.047325849533	0.007433529764840113	sbP
33	-0.45454547	7.6736107	10.0	-10.0	-1.0	7.5498343	10.0	-10.0	175.95454	165.1	131999	-3.1050866	3.4698598	17.073395	-17.631487	-3.105004	3.4742565	16.621258	-16.380983	2.8174987	1.8088552	2540.631203889847	0.007136339654484835	sbP
34	0.8	7.44043	10.0	-10.0	-0.1	8.061638	10.0	-10.0	160.12	155.36	135999	-3.1305437	3.471166	17.022472	-15.934776	-3.1304047	3.474499	18.083601	-15.486751	2.8651323	1.8016365	2621.897803068161	0.007129210444040796	sbP
35	1.3043479	6.791521	10.0	-10.0	-0.9	7.361386	10.0	-10.0	176.17392	166.51	139999	-3.154179	3.4840965	17.382992	-16.411936	-3.1540675	3.4862125	20.151957	-16.442606	2.880723	1.7992297	2703.586344242096	0.007867216376823279	sbP
36	1.1538461	7.5073934	10.0	-10.0	-0.2	8.243786	10.0	-10.0	152.15384	151.51	143999	-3.1714587	3.4824054	18.743057	-16.666386	-3.1713352	3.486377	18.594738	-16.095827	2.8991265	1.7879038	2782.693122625351	0.00740386983266757	sbP
37	-1.2	7.6524506	10.0	-10.0	0.6	7.7226934	10.0	-10.0	157.8	164.83	147999	-3.2486582	3.4679573	18.093706	-18.150948	-3.2486284	3.4716718	16.971066	-16.730076	2.973355	1.7782373	2863.1625850200653	0.007250733613673425	sbP
38	1.9230769	7.348067	10.0	-10.0	-0.2	7.345747	10.0	-10.0	160.11539	173.52	151999	-3.304141	3.4211771	16.834728	-17.458702	-3.3039913	3.425099	17.550325	-17.44441	3.0380502	1.7588503	2946.3973727226257	0.00768911072682752	sbP
39	-1.3333334	8.844333	10.0	-10.0	0.7	6.205642	10.0	-10.0	132.43333	199.44	155999	-3.345651	3.4274254	18.266623	-16.554468	-3.3457181	3.4314578	18.605898	-16.13511	3.0795186	1.726314	3031.688451766968	0.007681429297529991	sbP
40	0.0	6.488857	10.0	-10.0	-1.1	7.8606615	10.0	-10.0	203.89473	166.46	159999	-3.346578	3.4285994	21.29859	-16.7561	-3.3464503	3.4314575	21.517086	-16.060328	3.0820074	1.7651314	3114.358848810196	0.007673755541988003	sbP
41	0.625	8.637671	10.0	-10.0	-1.1	7.6019735	10.0	-10.0	131.34375	169.61	163999	-3.3971732	3.381256	19.048733	-16.229906	-3.3971407	3.3851435	18.524036	-16.080912	3.1383188	1.7186341	3197.43555021286	0.0076660894525354675	sbP
42	0.4347826	7.5055118	10.0	-10.0	-1.2	7.7820306	10.0	-10.0	173.17392	158.91	167999	-3.4323757	3.3507366	18.40742	-16.436768	-3.4322846	3.3548827	18.499842	-16.31975	3.1711018	1.7000332	3279.1219232082367	0.007507529675045539	sbP
43	0.8333333	7.592028	10.0	-10.0	-2.4	8.616263	10.0	-10.0	163.95833	139.61	171999	-3.4413662	3.3274333	18.21876	-17.573965	-3.4412065	3.3315256	18.89945	-17.174158	3.183695	1.6656308	3360.641498565674	0.007352249431820548	sbP
44	0.32258064	8.974469	10.0	-10.0	-0.7	7.9063272	10.0	-10.0	128.3871	165.22	175999	-3.4923894	3.2772853	18.48823	-17.565582	-3.4923673	3.281074	17.512138	-17.156408	3.239606	1.6018833	3443.1685655117035	0.007643137104168516	sbP
45	-0.37037036	8.380525	10.0	-10.0	-0.2	7.6131463	10.0	-10.0	151.62962	160.32	179999	-3.5000372	3.2885098	18.164505	-18.066242	-3.4999843	3.2903469	17.807333	-16.984266	3.2420564	1.651414	3524.979634284973	0.007337566960332922	sbP
46	1.6	7.838367	10.0	-10.0	-0.7	7.517314	10.0	-10.0	156.44	158.55	183999	-3.4699407	3.2666526	19.874805	-17.259554	-3.4697728	3.2708068	19.31854	-17.365143	3.2260365	1.6203349	3607.218743085861	0.0076278737288371125	sbP
47	-2.2222223	7.856742	10.0	-10.0	-0.1	7.4155245	10.0	-10.0	150.25926	167.33	187999	-3.4614723	3.2461698	21.73425	-16.923883	-3.4614463	3.2490516	21.723999	-16.522778	3.2106428	1.6093626	3691.399393796921	0.007929666323677876	sbP
48	-0.7692308	7.8068395	10.0	-10.0	-1.0	7.6811457	10.0	-10.0	151.42308	169.6	191999	-3.480735	3.237255	18.916536	-17.057158	-3.4806826	3.240873	18.848	-17.30264	3.2335722	1.5761328	3773.7271802425385	0.007315598211587927	sbP
49	-2.9629629	7.6083846	10.0	-10.0	0.0	7.483315	10.0	-10.0	144.48148	169.5	195999	-3.535674	3.2105389	18.56063	-16.88387	-3.535509	3.2145371	19.631088	-16.965199	3.304816	1.5564754	3856.9793932437897	0.007164287738129852	sbP
50	0.0	6.172134	10.0	-10.0	1.2	7.909488	10.0	-10.0	191.4762	154.72	199999	-3.570218	3.2012403	18.9835	-17.275011	-3.5701003	3.2039747	19.720938	-17.378916	3.3294263	1.5738163	3938.209420442581	0.007300988932733531	sbP
51	-0.45454547	6.3798494	10.0	-10.0	0.8	6.8818607	10.0	-10.0	188.90909	183.14	203999	-3.6026404	3.166988	19.375324	-16.669151	-3.6025069	3.1707027	19.591322	-16.026232	3.3771138	1.5485235	4019.7858250141144	0.007293695237496035	sbP
52	0.3846154	8.539847	10.0	-10.0	-0.3	7.804486	10.0	-10.0	147.38461	154.54	207999	-3.6417484	3.1332667	20.962528	-16.56189	-3.6416998	3.1369367	19.814026	-16.750105	3.409203	1.5319256	4099.986676454544	0.007890136660070107	sbP
53	0.0	7.3379936	10.0	-10.0	-1.5	7.5332594	10.0	-10.0	159.5	168.68	211999	-3.6633873	3.1181612	19.280529	-16.162437	-3.6633115	3.1221201	20.417585	-16.639053	3.4361937	1.4814094	4180.202666044235	0.007574691554056612	sbP
54	1.1111112	8.314795	10.0	-10.0	-0.1	7.5491724	10.0	-10.0	149.59259	183.23	215999	-3.6832757	3.1060903	18.69931	-15.541066	-3.683131	3.1093044	18.418947	-16.118393	3.4559052	1.4816692	4261.630526781082	0.007719223630662489	sbP
55	0.0	8.164966	10.0	-10.0	1.1	7.0562024	10.0	-10.0	149.37038	173.28	219999	-3.6830618	3.0886388	19.651567	-15.902993	-3.6830142	3.0910614	20.577969	-16.515907	3.4599857	1.4600476	4343.435887098312	0.007559564864762226	sbP
56	0.8	7.9598994	10.0	-10.0	-0.6	7.0455656	10.0	-10.0	157.84	176.31	223999	-3.6679277	3.078638	18.3501	-15.356729	-3.667829	3.0824356	18.555553	-15.611221	3.4467127	1.441884	4429.502601146698	0.007858654857269411	sbP
57	0.90909094	6.6804256	10.0	-10.0	0.2	8.243785	10.0	-10.0	178.09091	142.12	227999	-3.6936162	3.0538788	21.40804	-16.452845	-3.6935704	3.0571427	21.012896	-15.694157	3.4833486	1.4145013	4512.496184825897	0.00754446838352679	sbP
58	1.3043479	7.4040813	10.0	-10.0	-0.1	7.279423	10.0	-10.0	175.13043	169.76	231999	-3.740052	3.0288591	19.209644	-16.279505	-3.7400675	3.0316844	19.188967	-15.543322	3.5246665	1.3927402	4595.181282043457	0.007688423774261417	sbP
59	1.9230769	7.8540688	10.0	-10.0	1.4	7.485987	10.0	-10.0	152.34616	165.87	235999	-3.7488956	2.999866	19.405266	-16.063438	-3.7487311	3.002094	19.457575	-15.693204	3.540233	1.400655	4679.487197637558	0.007680743031230188	sbP
60	-2.3076923	7.994081	10.0	-10.0	1.9	7.5756183	10.0	-10.0	152.34616	163.49	239999	-3.7828753	2.95712	22.22133	-16.649118	-3.7828844	2.9610658	22.122797	-16.272415	3.5825198	1.3757082	4762.846972703934	0.007827298667490426	sbP
61	-1.1538461	8.003328	10.0	-10.0	1.3	7.1631	10.0	-10.0	156.76923	172.51	243999	-3.7859159	2.960736	20.30695	-15.638438	-3.7857308	2.964121	19.97025	-16.156466	3.581062	1.3518766	4848.450967311859	0.007819479188302125	sbP
62	0.41666666	7.8947062	10.0	-10.0	0.6	7.9774675	10.0	-10.0	169.625	163.35	247999	-3.772476	2.9519527	20.377188	-15.880725	-3.7725143	2.9557965	19.620691	-15.812379	3.5722864	1.3670276	4930.388996362686	0.0076577468099023075	sbP
63	-0.45454547	7.6736107	10.0	-10.0	1.2	7.386474	10.0	-10.0	179.45454	170.21	251999	-3.7905014	2.9235	19.283066	-15.381226	-3.7903557	2.9264	19.820055	-15.4441185	3.5939507	1.3524433	5012.302210569382	0.007351592574767339	sbP
64	2.5	7.2168784	10.0	-10.0	0.8	7.573639	10.0	-10.0	169.79167	170.61	255999	-3.7831397	2.9415944	18.611004	-15.914732	-3.7831435	2.946047	19.624321	-16.379105	3.59122	1.3379228	5094.687710523605	0.007952768548084336	sbP
65	0.0	7.8446455	10.0	-10.0	1.6	7.1721683	10.0	-10.0	154.23077	172.3	259999	-3.7913034	2.9211545	18.555227	-16.308535	-3.7911808	2.9241798	19.638323	-16.36181	3.5974483	1.3539114	5178.02627325058	0.007484383334467897	sbP
66	0.0	8.451543	10.0	-10.0	0.6	6.902173	10.0	-10.0	142.28572	174.68	263999	-3.7832334	2.911062	20.041788	-15.053998	-3.78322	2.9136634	20.208359	-16.2535	3.5973976	1.3101864	5263.1393892765045	0.007627192247243457	sbP
67	2.6086957	6.7356234	10.0	-10.0	2.4	7.4993324	10.0	-10.0	172.69565	170.66	267999	-3.8107562	2.8614817	21.462412	-16.459862	-3.8105733	2.8646288	21.755106	-15.597508	3.6258323	1.3083987	5347.145438909531	0.007469436991048808	sbP
68	1.8181819	7.158189	10.0	-10.0	2.4	6.3435006	10.0	-10.0	183.59091	176.99	271999	-3.8153713	2.84764	22.782696	-15.641374	-3.8153214	2.8497317	24.47604	-15.595823	3.6308022	1.3046954	5431.128325462341	0.007611960713855035	sbP
69	1.0526316	6.402908	10.0	-10.0	-0.3	7.273926	10.0	-10.0	199.78947	171.36	275999	-3.8376164	2.8127944	20.67381	-15.83245	-3.8374631	2.815617	20.055147	-15.3801	3.645632	1.2608833	5514.502402305603	0.007913123719080933	sbP
70	1.7391304	7.010659	10.0	-10.0	-0.3	7.543872	10.0	-10.0	175.04347	166.35	279999	-3.8258266	2.7847483	18.725471	-15.023889	-3.8257155	2.7880015	18.225386	-15.772096	3.6447477	1.2621222	5597.338385343552	0.007749454465817424	sbP
71	0.5882353	5.391266	10.0	-10.0	-0.9	7.2242646	10.0	-10.0	232.05882	182.18	283999	-3.8037143	2.7823637	17.911615	-16.98235	-3.8036716	2.7856805	18.802835	-16.41922	3.6250253	1.2500929	5681.87367606163	0.007897321179400953	sbP
72	-1.3636364	6.938335	10.0	-10.0	0.8	7.573639	10.0	-10.0	185.54546	170.79	287999	-3.7913175	2.7675166	21.096437	-16.120436	-3.7911391	2.7701986	19.213692	-15.65854	3.617169	1.22075	5764.4268181324005	0.007733978774290069	sbP
73	-0.6896552	8.275862	10.0	-10.0	0.8	7.833263	10.0	-10.0	141.51724	170.23	291999	-3.7698112	2.7753758	18.615393	-15.844707	-3.7697854	2.777875	18.27751	-15.491673	3.5876577	1.2190742	5848.984372138977	0.007881550197455844	sbP
74	1.0714285	8.167569	10.0	-10.0	1.0	6.8556547	10.0	-10.0	141.92857	184.94	295999	-3.7637422	2.7811246	16.489077	-16.181498	-3.7635872	2.7851582	17.168907	-16.47914	3.5883608	1.2157047	5935.490969419479	0.007873676520934911	sbP
75	1.4285715	7.8895435	10.0	-10.0	1.2	7.909488	10.0	-10.0	145.14285	161.39	299999	-3.7736762	2.7741108	17.168268	-16.069416	-3.7735815	2.7775161	17.050102	-15.676562	3.5936098	1.2137333	6020.418882369995	0.008023913505500203	sbP
76	1.3043479	7.4040813	10.0	-10.0	0.5	6.98212	10.0	-10.0	174.13043	178.77	303999	-3.7395253	2.7598531	17.640917	-16.708183	-3.7394478	2.7617078	18.095697	-15.59788	3.5666668	1.2093301	6105.569746494293	0.008015897607892312	sbP
77	0.0	7.223151	10.0	-10.0	3.0	7.81025	10.0	-10.0	173.69565	149.22	307999	-3.7145638	2.7339172	18.960548	-15.547989	-3.714506	2.7367764	17.38269	-15.753773	3.5480654	1.1894155	6188.9373297691345	0.007543794353447098	sbP
