Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-248.28464	80.005165	-135.24464	-379.07886	-141.04445	136.12949	-0.2745887	-383.7686	200.0	200.0	3999	-6.3745146	4.2729487	0.44930977	-17.323473	-6.374494	4.2748733	0.5945657	-17.321272	6.2911043	0.44690478	56.86735558509827	0.027402319819164307
2	-239.94763	81.0895	-151.21962	-381.05023	-120.887344	142.89232	-0.98060095	-382.59036	200.0	200.0	7999	-14.869187	8.475941	3.0338948	-33.55484	-14.869203	8.479654	3.3552208	-33.45651	14.541463	2.707963	127.27445125579834	0.022885927889932677
3	-194.13747	127.487595	-7.0900273	-372.29742	-130.91718	148.49791	-1.0116996	-383.44525	200.0	200.0	11999	-20.542	14.018491	7.1504254	-49.470016	-20.542522	14.024309	6.693287	-49.743324	20.04935	6.255128	200.17298650741577	0.0166284009063817
4	-96.186356	141.82964	-0.31240878	-383.60016	-107.03132	141.83705	-0.54225767	-381.6766	200.0	200.0	15999	-22.7415	21.908333	10.858236	-64.80934	-22.74128	21.910992	10.426093	-64.191376	22.235767	10.714708	273.1216444969177	0.01445164139043666
5	-80.384796	120.96406	-0.47999775	-359.21634	-143.12254	142.03947	-0.084528394	-383.72812	200.0	200.0	19999	-22.913673	28.754684	14.943115	-75.93277	-22.914873	28.758167	15.030368	-75.68405	22.483238	14.862425	345.55052638053894	0.014727391990394044
6	-130.10912	141.17288	-0.17964213	-368.6534	-131.22125	141.14172	-0.17573437	-383.10504	200.0	200.0	23999	-23.39598	33.98084	20.01372	-84.75372	-23.396757	33.983612	18.982933	-84.773735	23.028645	18.916668	419.36521005630493	0.01254728574051452
7	-147.2743	123.07735	-0.1309519	-364.93018	-111.16322	131.70888	-0.19032542	-382.0836	200.0	200.0	27999	-26.632154	38.83336	20.61128	-93.313896	-26.633698	38.836185	20.101837	-93.56222	26.41693	24.80527	492.99779176712036	0.012045649323920053
8	-88.26655	121.55552	-2.6825204	-349.75836	-119.821686	131.47328	-0.44590083	-357.33096	200.0	200.0	31999	-28.846315	42.78347	20.633512	-100.23219	-28.84727	42.787533	18.966871	-100.171364	28.64959	28.00884	566.4537968635559	0.010893875318432744
9	-144.44687	145.22899	-0.41218445	-379.13245	-145.29306	146.27498	-0.3678665	-383.5398	200.0	200.0	35999	-29.091377	46.551823	23.560844	-106.09358	-29.091988	46.55681	22.311073	-105.956116	28.945944	34.115204	640.2972328662872	0.010458341714545802
10	-150.6028	130.03154	-1.9680809	-361.44754	-129.96985	148.1966	-0.8827238	-383.65533	200.0	200.0	39999	-31.676428	50.990086	31.426422	-111.15227	-31.678637	50.99562	29.28876	-111.116875	31.416845	41.2401	712.6856234073639	0.03248369032118284
11	-48.15414	83.39929	-2.1313636	-359.76764	-94.07344	128.27327	-0.7125813	-383.53427	200.0	200.0	43999	-30.080973	56.101406	34.023537	-115.72059	-30.083082	56.10733	33.03778	-115.49373	29.438324	46.735516	786.0697255134583	0.014933586746226591
12	-112.142685	141.83167	-1.0910461	-383.71313	-146.73592	144.08124	-1.3836521	-382.6538	200.0	200.0	47999	-28.292387	60.202652	40.49382	-119.594025	-28.293055	60.206715	35.959305	-119.30332	27.900816	51.4802	859.3692364692688	0.017148624251682922
13	-136.37363	134.32217	-1.4250044	-380.2617	-109.62053	136.84555	-0.96019775	-383.67014	200.0	200.0	51999	-28.051704	63.693462	42.92589	-123.85748	-28.053972	63.69649	40.572887	-123.45042	27.49664	55.867764	930.9277248382568	0.0124598050129888
14	-98.08264	132.18484	-1.638169	-365.79947	-124.6511	137.11722	-1.24757	-376.48785	200.0	200.0	55999	-29.135878	66.27106	46.99625	-127.646164	-29.13833	66.27741	43.313427	-127.18857	28.87822	65.37985	1003.3500835895538	0.012697549544205669
15	-104.58329	143.14256	-0.5630814	-367.90103	-125.41956	139.41743	-0.8990308	-383.68713	200.0	200.0	59999	-29.499302	68.5753	48.960648	-130.6576	-29.501577	68.57951	46.191914	-129.86877	29.1617	68.25169	1075.082484960556	0.011483442516420812
16	-98.4422	139.94687	-1.4081099	-377.8105	-125.67553	138.03723	-0.5911307	-383.8079	200.0	200.0	63999	-29.415882	70.037895	48.521755	-132.5109	-29.417967	70.04284	48.599792	-132.02946	29.14878	72.43786	1148.6632504463196	0.01124592740503376
17	-70.632706	94.93675	-1.6504776	-289.3249	-92.844284	127.00977	-0.8915565	-383.66483	200.0	200.0	67999	-29.877283	71.14184	55.614532	-134.45528	-29.87951	71.14432	49.392357	-133.77429	29.585829	73.75192	1221.1897354125977	0.010170620752448924
18	-78.044014	127.4555	-0.42502457	-382.3033	-108.00017	134.2513	-0.5463805	-383.58334	200.0	200.0	71999	-28.90244	72.03992	52.38205	-136.25064	-28.90454	72.04534	49.753494	-135.95462	28.916561	76.863785	1293.0787990093231	0.008839224208030466
19	-129.76096	152.24971	-2.7246776	-382.9718	-96.33413	127.843254	-0.05387195	-382.19202	200.0	200.0	75999	-30.315912	72.89542	54.261444	-138.59064	-30.317703	72.89935	52.99683	-137.71202	30.121668	77.189026	1365.1686732769012	0.010354331212816304
20	-44.69935	79.838066	-1.2331592	-320.19934	-104.57732	132.73468	-0.07821237	-379.0624	200.0	200.0	79999	-29.992624	73.11269	53.33329	-140.64569	-29.995865	73.11459	51.284588	-140.29942	29.576332	80.67172	1437.4265582561493	0.007986054270541049
21	-118.28322	136.48344	-3.8124099	-377.60184	-121.73884	134.7451	-0.13601935	-381.29327	200.0	200.0	83999	-30.042843	73.58785	51.400707	-141.9058	-30.045555	73.59041	49.104866	-141.52992	29.70977	80.201065	1509.2641932964325	0.009542955700703687
22	-113.89231	141.42154	-8.752784	-370.62555	-124.35425	143.20822	-0.15410863	-383.31158	200.0	200.0	87999	-30.669775	74.488785	55.409924	-142.41661	-30.671402	74.49189	56.16082	-141.90097	30.085144	90.674866	1582.5407450199127	0.010530829179636643
23	-131.90588	146.32759	-1.6590096	-379.74542	-138.42125	150.24243	-1.0667446	-383.79626	200.0	200.0	91999	-30.104185	75.34764	59.119473	-144.31326	-30.105957	75.346436	59.192833	-143.5507	29.648434	84.109	1655.7729773521423	0.01010981004269422
