Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
23	2.574001	7.8102455	9.979378	-15.725025	-1.4639025	9.837874	9.959663	-20.35564	167.47826	164.66	91999	-0.20828363	2.0190547	19.860384	-14.910994	-0.20824705	2.0205126	19.094557	-15.919972	0.033901103	0.45372388	1784.7593822479248	0.009336239956911303
24	0.95422745	8.32153	9.880571	-13.615257	-0.26182353	10.129977	9.948125	-19.025406	150.64285	126.26	95999	-0.25013208	2.0688891	17.311079	-15.932676	-0.25021046	2.071022	15.816839	-15.909066	0.072558485	0.4732125	1860.368805885315	0.008962980109857003
25	3.2349448	9.092561	9.955207	-14.759429	4.8244643	6.8675003	10.0	-14.313888	118.0	134.66	99999	-0.2597969	2.1088998	15.845078	-15.132328	-0.25975657	2.1108108	15.124524	-14.965715	0.08672627	0.48487473	1936.8282725811005	0.008777596396209422
26	3.8882163	9.415852	9.900925	-29.29476	5.581707	8.184616	10.0	-20.484373	117.82353	105.02	103999	-0.24169256	2.1592798	16.234627	-14.982365	-0.24167037	2.1609914	15.726934	-16.175186	0.06358673	0.5068453	2010.6494064331055	0.008426670937622834
27	5.048122	8.065485	9.942133	-18.141724	3.5023346	9.332843	9.963829	-21.902521	115.14286	105.27	107999	-0.23669326	2.2334466	17.134085	-14.755393	-0.23664644	2.235186	16.414373	-15.135458	0.06363794	0.53831714	2084.3619170188904	0.00858745956390515
28	3.2216322	7.4490004	9.918442	-12.0310335	2.985354	8.935923	9.957993	-20.140182	141.82143	126.4	111999	-0.22227137	2.3338223	16.471687	-14.947548	-0.2222595	2.3362994	15.569378	-15.125608	0.04298603	0.5533681	2160.034965991974	0.00910665471484175
29	6.3458223	6.362125	10.0	-14.617391	5.033266	8.069631	10.0	-17.368208	112.583336	109.62	115999	-0.15343674	2.4136698	15.704841	-15.98492	-0.15352255	2.4149115	14.547135	-14.839897	-0.03966635	0.5560564	2232.9829761981964	0.008401441400695108
30	6.3869543	6.5824027	10.0	-15.056433	7.3119183	5.47696	9.964842	-19.247974	101.10256	115.13	119999	-0.028642304	2.51305	14.683213	-15.14758	-0.028618064	2.5145798	14.27255	-16.09347	-0.1599588	0.5931041	2307.3336131572723	0.008561748624224855
31	7.020602	5.393108	9.910108	-15.749928	6.5383134	6.322491	10.0	-17.149944	120.26471	110.29	123999	0.108543634	2.5911264	14.621064	-16.211876	0.108550265	2.5921607	14.350804	-15.426608	-0.29097137	0.61506337	2382.0880806446075	0.008384663688654113
32	6.1313076	7.4788623	9.911997	-18.968756	8.101839	4.563779	9.93746	-13.391361	114.76471	82.29	127999	0.15967512	2.6170185	14.3532	-14.624853	0.15970148	2.6187809	14.766985	-15.4819	-0.3426053	0.61573637	2454.4817168712616	0.008376287401252862
33	7.884351	3.913576	9.936776	-6.869968	7.5166335	5.307845	9.954484	-15.962921	111.34286	90.68	131999	0.28120056	2.6655474	15.442238	-14.216981	0.28113055	2.6668103	14.846256	-13.746132	-0.46377987	0.63006556	2526.732413291931	0.00888271514850669
34	4.792762	6.8347006	9.912807	-11.979042	6.7361712	6.0613127	10.0	-20.91528	123.32353	100.35	135999	0.40324718	2.7032638	16.264273	-14.252226	0.40331867	2.7046432	16.780432	-14.8173895	-0.5894903	0.6401047	2601.6943645477295	0.008873841307199492
35	7.322126	5.2744303	9.940164	-13.30276	6.0455694	6.832218	10.0	-18.163357	97.63415	103.91	139999	0.53708494	2.743099	16.320753	-14.152413	0.5370418	2.744978	16.021727	-14.638043	-0.71250194	0.635521	2677.1030852794647	0.008690301275236373
36	4.095065	8.851795	9.8835125	-14.739291	6.37213	7.117054	9.938685	-19.038937	105.289474	91.03	143999	0.61615306	2.803651	15.175615	-16.623549	0.6161415	2.8056006	14.84294	-15.934165	-0.791091	0.64882433	2753.061396598816	0.009034128226892195
37	4.8337398	8.546271	9.943826	-15.092745	7.865422	5.055822	10.0	-15.458593	96.63415	85.69	147999	0.6785847	2.837803	15.228565	-16.117842	0.6786209	2.839501	15.424595	-15.804632	-0.8522334	0.64987034	2827.0652067661285	0.008502055395423903
