Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-13.168889	10.764203	9.481637	-32.955452	-12.432582	8.201758	9.438978	-37.74248	141.2963	124.31	3999	-1.8700621	3.1822956	30.281227	-43.414867	-1.8696512	3.1845255	31.28048	-42.558853	1.7161053	0.9988002	62.9425573348999	0.025305582610092796
2	-16.676912	8.615482	-2.3672543	-35.227505	-11.992956	10.637008	9.995259	-32.977165	189.0	145.69	7999	-0.85769564	4.7096663	54.47561	-37.41016	-0.85730094	4.7137666	55.983604	-37.55473	0.012723419	1.6516135	144.46240305900574	0.01838646765094835
3	-12.868696	10.176589	9.408298	-35.379025	-8.402884	8.226139	9.858654	-18.53128	121.818184	103.62	11999	5.299758	8.060685	70.16434	-33.050663	5.2987437	8.057257	70.013084	-33.685127	-7.10771	4.8072453	222.68389630317688	0.0166284009063817
4	-10.896176	10.777312	9.90977	-42.377888	-5.3766675	9.112498	9.841154	-20.114592	156.24	158.54	15999	13.07969	11.1477	75.8529	-42.72823	13.080342	11.148108	78.02966	-40.646877	-14.841762	8.1907625	306.0851559638977	0.012572392859281285
5	-4.424519	8.994558	9.691204	-16.603897	-6.2006006	8.909989	9.836754	-17.988287	130.41936	124.71	19999	17.220867	13.878174	74.53827	-45.738766	17.221737	13.885094	79.665855	-45.905296	-18.814672	9.8776	385.2455630302429	0.010500237873298094
6	-7.608027	7.671778	8.826869	-20.033335	-10.3360405	9.958723	9.507357	-32.95617	151.23077	159.75	23999	19.306263	14.477578	71.58986	-45.65598	19.307041	14.479152	71.9927	-46.969604	-20.72118	9.354014	469.5315589904785	0.010489748125172923
7	-8.605585	9.925227	8.323322	-34.630352	-9.984615	11.260167	9.81002	-36.12086	150.53847	174.13	27999	19.591793	14.310995	57.263004	-45.151077	19.592714	14.313583	58.436302	-45.878487	-20.657307	7.9364986	555.3915281295776	0.009486745390343882
8	-8.509896	10.2075	9.443447	-24.599827	-11.785409	8.006996	9.112133	-31.271498	210.35	183.69	31999	18.00199	13.911196	52.43476	-53.993942	18.002626	13.914496	52.845783	-54.216366	-18.92476	7.7175426	641.2846674919128	0.010060311084386797
9	-11.375933	7.378273	6.9419785	-22.401022	-13.1494055	10.30987	9.020234	-35.075264	190.15	203.7	35999	15.700362	12.767936	48.361187	-54.035545	15.700926	12.769834	48.598625	-54.309837	-16.523012	6.908503	727.1855382919312	0.009281247252131915
10	-9.492661	8.857962	9.585005	-22.818958	-5.500444	8.448394	9.857239	-23.29815	173.91667	197.3	39999	13.33809	11.195352	43.792595	-48.76023	13.338811	11.196332	43.29408	-48.431854	-14.125801	5.776835	812.9871394634247	0.009089280734099658
11	-7.469568	11.028043	8.008903	-27.048723	-10.097779	12.884682	9.857201	-35.671566	200.4	178.94	43999	11.349574	9.8440895	37.654385	-49.25328	11.34974	9.847175	37.6987	-49.06328	-12.005341	4.7540555	897.8318045139313	0.008220187089033649
