Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-217.23038	71.783806	-136.64438	-393.6433	-126.83158	138.46362	-0.56219435	-383.65802	200.0	200.0	3999	-5.5298734	4.1145854	0.42440432	-17.464798	-5.529792	4.115074	0.6091795	-17.465601	5.394161	0.41864303	35.89901304244995
2	-265.24902	86.12213	-138.98921	-387.64627	-107.07548	133.74098	-0.8684016	-383.71002	200.0	200.0	7999	-13.2791	8.669545	2.652985	-33.426537	-13.278968	8.672059	2.3798048	-33.378323	12.923914	2.5675933	81.39166164398193
3	-147.1888	104.128685	-9.088829	-312.09973	-116.13272	136.48915	-0.3896025	-383.6183	200.0	200.0	11999	-18.312809	13.143684	4.9709477	-48.669968	-18.313099	13.146418	4.61182	-48.402573	17.747517	5.555544	125.82377624511719
4	-77.25228	105.683975	-0.56589603	-337.94803	-116.08388	139.40826	-0.7009466	-379.24963	200.0	200.0	15999	-19.583687	18.653234	7.209941	-60.847225	-19.583328	18.653484	7.044407	-60.75273	19.115211	8.698632	171.70081853866577
5	-82.32444	115.74175	-1.0355604	-379.8318	-147.54684	151.83711	-0.88744	-383.36542	200.0	200.0	19999	-19.309061	23.15112	8.3848	-71.7994	-19.309175	23.152376	8.305594	-71.832146	18.929106	10.376381	217.4091830253601
6	-128.73018	143.98854	-1.2382873	-373.10538	-134.77733	143.27748	-0.5965155	-382.79953	200.0	200.0	23999	-21.28197	27.508087	8.602364	-81.18864	-21.282177	27.509216	10.019667	-81.181366	20.998844	13.612525	262.3616487979889
7	-77.40316	119.71066	-1.0790459	-366.9108	-117.76694	134.0484	-0.74251497	-381.55	200.0	200.0	27999	-23.908865	31.804157	8.333821	-88.828926	-23.909136	31.805553	7.683359	-88.90105	23.61389	19.244583	308.35070300102234
8	-64.53023	102.355354	-0.7409113	-316.2251	-149.2043	153.27225	-0.67214835	-383.27698	200.0	200.0	31999	-23.926716	34.64231	10.108542	-96.56276	-23.92678	34.643425	10.188796	-96.34608	23.749031	20.30991	354.2747588157654
9	-163.42128	152.87834	-0.68448645	-381.1416	-97.437126	131.9875	-0.63987094	-383.24408	200.0	200.0	35999	-25.811832	37.743916	12.014983	-102.46954	-25.812208	37.74485	10.58023	-102.39501	25.506727	24.157331	399.91530871391296
10	-76.50204	109.546425	-0.6586663	-378.8783	-127.63914	143.20236	-0.6295046	-383.73676	200.0	200.0	39999	-27.713526	40.72342	10.483397	-108.75423	-27.713783	40.725025	9.883942	-108.54331	27.432919	26.375496	445.18069314956665
11	-93.898155	123.36803	-0.7652673	-371.52774	-110.86572	138.01732	-0.86280525	-380.70413	200.0	200.0	43999	-27.73538	42.644497	12.04381	-113.58073	-27.735987	42.645912	11.264187	-113.633	27.588137	29.95289	490.4246747493744
12	-132.50494	142.87813	-0.27837133	-379.96268	-134.72612	143.06529	-0.025624136	-379.85132	200.0	200.0	47999	-29.7803	45.173153	12.833672	-117.19099	-29.780777	45.174263	12.646982	-117.10881	29.696846	32.914814	535.671159029007
13	-107.697716	145.98335	-0.18414935	-384.41098	-128.25565	150.45055	-0.06943788	-382.31332	200.0	200.0	51999	-30.727606	47.17401	16.047636	-120.75216	-30.727875	47.17478	13.299234	-120.775116	30.501434	36.37703	580.8571486473083
14	-86.07912	124.89691	-1.0545262	-383.14456	-129.37415	145.29306	-0.5621552	-381.78915	200.0	200.0	55999	-31.021627	48.728336	15.139228	-123.77056	-31.022287	48.729717	13.863391	-123.674576	30.8825	36.947693	626.1692428588867
15	-118.863144	129.25183	-1.2845124	-355.22345	-124.101715	142.68886	-0.5355757	-383.4309	200.0	200.0	59999	-31.888462	50.55367	16.412312	-126.19638	-31.88883	50.554802	15.467473	-126.16745	31.632488	39.756023	672.0545115470886
16	-120.62644	121.44684	-1.4757795	-357.22778	-130.22571	145.14105	-0.6868064	-383.40308	200.0	200.0	63999	-32.88631	52.194225	18.28488	-128.35727	-32.88641	52.194763	18.37831	-128.562	32.769745	42.471516	717.5387904644012
